it=1500000 best=108 cs=121 T=0.9382
it=1510000 best=108 cs=125 T=0.9336
it=1520000 best=108 cs=131 T=0.9289
it=1530000 best=108 cs=129 T=0.9242
it=1540000 best=108 cs=128 T=0.9196
it=1550000 best=108 cs=138 T=0.9150
it=1560000 best=105 cs=133 T=0.9104
it=1570000 best=105 cs=127 T=0.9059
it=1580000 best=105 cs=119 T=0.9014
it=1590000 best=102 cs=124 T=0.8969
it=1600000 best=102 cs=121 T=0.8924
it=1610000 best=102 cs=132 T=0.8879
it=1620000 best=102 cs=127 T=0.8835
it=1630000 best=102 cs=131 T=0.8791
it=1640000 best=102 cs=118 T=0.8747
it=1650000 best=102 cs=126 T=0.8703
it=1660000 best=102 cs=129 T=0.8659
it=1670000 best=102 cs=131 T=0.8616
it=1680000 best=102 cs=126 T=0.8573
it=1690000 best=102 cs=128 T=0.8530
it=1700000 best=102 cs=139 T=0.8487
it=1710000 best=102 cs=126 T=0.8445
it=1720000 best=102 cs=134 T=0.8403
it=1730000 best=102 cs=120 T=0.8361
it=1740000 best=102 cs=127 T=0.8319
it=1750000 best=102 cs=137 T=0.8277
it=1760000 best=96 cs=122 T=0.8236
it=1770000 best=96 cs=130 T=0.8195
it=1780000 best=96 cs=117 T=0.8154
it=1790000 best=96 cs=124 T=0.8113
it=1800000 best=96 cs=120 T=0.8072
it=1810000 best=96 cs=115 T=0.8032
it=1820000 best=96 cs=118 T=0.7992
it=1830000 best=96 cs=129 T=0.7952
it=1840000 best=96 cs=119 T=0.7912
it=1850000 best=96 cs=120 T=0.7873
it=1860000 best=96 cs=119 T=0.7833
it=1870000 best=96 cs=121 T=0.7794
it=1880000 best=96 cs=107 T=0.7755
it=1890000 best=92 cs=115 T=0.7716
it=1900000 best=91 cs=121 T=0.7678
it=1910000 best=91 cs=125 T=0.7639
it=1920000 best=91 cs=120 T=0.7601
it=1930000 best=91 cs=97 T=0.7563
it=1940000 best=91 cs=107 T=0.7525
it=1950000 best=91 cs=119 T=0.7488
it=1960000 best=91 cs=109 T=0.7450
it=1970000 best=91 cs=132 T=0.7413
it=1980000 best=91 cs=105 T=0.7376
it=1990000 best=91 cs=109 T=0.7339
it=2000000 best=91 cs=131 T=0.7302
it=2010000 best=90 cs=116 T=0.7266
it=2020000 best=90 cs=109 T=0.7230
it=2030000 best=90 cs=120 T=0.7193
it=2040000 best=90 cs=113 T=0.7158
it=2050000 best=90 cs=111 T=0.7122
it=2060000 best=90 cs=102 T=0.7086
it=2070000 best=84 cs=104 T=0.7051
it=2080000 best=84 cs=111 T=0.7015
it=2090000 best=84 cs=99 T=0.6980
it=2100000 best=84 cs=114 T=0.6945
it=2110000 best=84 cs=97 T=0.6911
it=2120000 best=84 cs=120 T=0.6876
it=2130000 best=84 cs=101 T=0.6842
it=2140000 best=81 cs=107 T=0.6808
it=2150000 best=78 cs=105 T=0.6774
it=2160000 best=61 cs=103 T=0.6740
it=2170000 best=61 cs=96 T=0.6706
it=2180000 best=61 cs=94 T=0.6672
it=2190000 best=61 cs=102 T=0.6639
it=2200000 best=61 cs=111 T=0.6606
it=2210000 best=61 cs=106 T=0.6573
it=2220000 best=61 cs=87 T=0.6540
it=2230000 best=61 cs=113 T=0.6507
it=2240000 best=61 cs=89 T=0.6475
it=2250000 best=61 cs=92 T=0.6442
it=2260000 best=61 cs=96 T=0.6410
it=2270000 best=61 cs=77 T=0.6378
it=2280000 best=61 cs=102 T=0.6346
it=2290000 best=61 cs=98 T=0.6314
it=2300000 best=61 cs=91 T=0.6283
it=2310000 best=61 cs=105 T=0.6252
it=2320000 best=61 cs=89 T=0.6220
it=2330000 best=61 cs=77 T=0.6189
it=2340000 best=61 cs=101 T=0.6158
it=2350000 best=61 cs=98 T=0.6127
it=2360000 best=59 cs=80 T=0.6097
it=2370000 best=59 cs=90 T=0.6066
it=2380000 best=59 cs=85 T=0.6036
it=2390000 best=59 cs=76 T=0.6006
it=2400000 best=58 cs=82 T=0.5976
it=2410000 best=58 cs=79 T=0.5946
it=2420000 best=58 cs=81 T=0.5916
it=2430000 best=58 cs=82 T=0.5887
it=2440000 best=58 cs=91 T=0.5857
it=2450000 best=58 cs=73 T=0.5828
it=2460000 best=58 cs=92 T=0.5799
it=2470000 best=58 cs=84 T=0.5770
it=2480000 best=58 cs=73 T=0.5741
it=2490000 best=58 cs=64 T=0.5712
it=2500000 best=58 cs=74 T=0.5684
it=2510000 best=58 cs=82 T=0.5655
it=2520000 best=58 cs=62 T=0.5627
it=2530000 best=58 cs=84 T=0.5599
it=2540000 best=54 cs=80 T=0.5571
it=2550000 best=54 cs=76 T=0.5543
it=2560000 best=54 cs=83 T=0.5515
it=2570000 best=54 cs=83 T=0.5488
it=2580000 best=54 cs=63 T=0.5460
it=2590000 best=54 cs=76 T=0.5433
it=2600000 best=49 cs=78 T=0.5406
it=2610000 best=49 cs=87 T=0.5379
it=2620000 best=49 cs=93 T=0.5352
it=2630000 best=49 cs=78 T=0.5325
it=2640000 best=49 cs=70 T=0.5298
it=2650000 best=49 cs=67 T=0.5272
it=2660000 best=49 cs=75 T=0.5246
it=2670000 best=47 cs=58 T=0.5219
it=2680000 best=37 cs=67 T=0.5193
it=2690000 best=37 cs=64 T=0.5167
it=2700000 best=37 cs=65 T=0.5141
it=2710000 best=37 cs=48 T=0.5116
it=2720000 best=37 cs=58 T=0.5090
it=2730000 best=37 cs=70 T=0.5065
it=2740000 best=37 cs=65 T=0.5039
it=2750000 best=37 cs=62 T=0.5014
it=2760000 best=37 cs=54 T=0.4989
it=2770000 best=37 cs=54 T=0.4964
it=2780000 best=37 cs=59 T=0.4939
it=2790000 best=37 cs=56 T=0.4915
it=2800000 best=33 cs=34 T=0.4890
it=2810000 best=33 cs=48 T=0.4866
it=2820000 best=33 cs=55 T=0.4841
it=2830000 best=33 cs=49 T=0.4817
it=2840000 best=31 cs=34 T=0.4793
it=2850000 best=31 cs=47 T=0.4769
it=2860000 best=31 cs=51 T=0.4745
it=2870000 best=31 cs=47 T=0.4721
it=2880000 best=31 cs=56 T=0.4698
it=2890000 best=31 cs=50 T=0.4674
it=2900000 best=31 cs=47 T=0.4651
it=2910000 best=31 cs=39 T=0.4628
it=2920000 best=31 cs=36 T=0.4605
it=2930000 best=31 cs=49 T=0.4582
it=2940000 best=31 cs=60 T=0.4559
it=2950000 best=31 cs=49 T=0.4536
